Kode Barang,Nama Produk,STOK,Barang Masuk,Barang Keluar,Harga Jual,Kategori
BJ001,My Litlle Whiz,0,4,0,55500,Pakaian
BJ002,Baju Muslim setelan,0,3,0,80500,Pakaian
BJ003,Nezumi Stell Kupu,0,3,0,90500,Pakaian
BJ004,Nezumi Stell cln pdk,0,4,0,75500,Pakaian
BJ005,Baju Cewek Tutu,0,4,0,80500,Pakaian
BJ006,Nezumi Stell pita cln pjg,0,3,0,95500,Pakaian
BJ007,Baju Kaos+ celana jeans,0,3,0,99500,Pakaian
BJ008,Baju + Celana Renata Junior,0,6,0,99500,Pakaian
BJ009,Baju Menyusui Pizerl maternity lgn pjg,0,2,0,190500,Pakaian
BJ010,Baju Menyusui Pizerl maternity lgn pdk,0,3,0,190500,Pakaian
BJ011,Kaos Stell Peek A boo,0,3,0,79500,Pakaian
BJ012,M2N Kids,0,3,0,150500,Pakaian
BJ013,Ka el Stell,0,4,0,85500,Pakaian
BJ014,Vinata 6 pieces set,0,2,0,59500,Pakaian
BJ015,desan Pendek,0,12,0,59500,Pakaian
BJ016,Obl Ridges S,0,12,0,25500,Pakaian
BJ017,Obl Ridges M,0,12,0,27500,Pakaian
BJ018,Obl Ridges L,0,12,0,29500,Pakaian
BJ019,Bendito,0,12,0,50500,Pakaian
BJ020,Baju Kodok Chiby,0,4,0,89500,Pakaian
BJ021,Baju Kodok Disney,0,6,0,59500,Pakaian
BJ022,Carter Jumper pendek 3 bln,0,1,0,28500,Pakaian
BJ023,Carter Jumper pendek 6 bln,0,3,0,28500,Pakaian
BJ024,Carter Jumper pendek 9 bln,0,4,0,28500,Pakaian
BJ025,Carter Jumper pendek 12 bln,0,4,0,28500,Pakaian
BJ026,Carter Jumper panjang 6 bln,0,4,0,31500,Pakaian
BJ027,Carter Jumper panjang 9 bln,0,4,0,31500,Pakaian
BJ028,Carter Jumper panjang 12 bln,0,4,0,31500,Pakaian
PTK001,Sheep OB Prem+C511 KRT,0,6,0,78500,Pakaian
PTK002,Bear/B OBL  Kcng+511 XL,0,5,0,85500,Pakaian
PTK003,Big V2 Hansop PD+PD,0,6,0,59500,Pakaian
